ID;expression1;expression2;sentence1;sentence2
hom_1528;perfect;perfect;She wants everything to be perfect for the party.;He works hard to perfect his culinary skills.
hom_1860;pull it off;pull it off;She managed to pull it off despite the challenges.;He couldn't pull it off the shelf because it was stuck.
hom_1946;derivative;derivative;The movie was derivative of classic films.;In calculus, the derivative of a function represents its rate of change.
hom_488;bored;bored;She felt bored while waiting for the meeting to start.;The engineer bored a tunnel through the mountain.
hom_1317;developed;developed;She developed her skills over time through consistent practice.;He developed the images using professional photography equipment.
hom_1162;lumber;lumber;They transported the lumber to the construction site.;After waking up late, he began to lumber around the house.
hom_1729;tables;tables;The restaurant has several tables for customers.;Students memorize their multiplication tables in math class.
het_1454;delete;delight;Please delete the unnecessary paragraphs from the document.;She was filled with delight upon receiving the award.
hom_1427;radiating;radiating;The sun was radiating intense heat.;The radioactive material was radiating harmful levels of radiation.
het_481;prints;prince;She displayed her latest prints at the art exhibition.;The prince attended the royal banquet at Buckingham Palace.
het_1478; youthless; useless; Many old people may feel youthless as they grow older.; After the software update, the previous version became completely useless.
hom_442;on a roll;on a role;The team has been on a roll, winning every game this season.;She is on a role in the new musical, performing as the lead character.
het_792;tutor;tooter;She works as a tutor at the local high school.;He is a tooter in the community band.
hom_2099;lose their marbles;lose their marbles;After the constant stress, she seemed to lose her marbles.;The sculptors were careful not to lose their marbles during the搬运。
het_1117; butte; butt; The hikers climbed to the top of the butte to enjoy the panoramic views.; He fell and injured his butt while skiing down the slope.
het_39;concealed weapon;congealed weapon;He was fined for possessing a concealed weapon during the airport security check.;The police found a congealed weapon made of hardened gelatin in his kitchen.
hom_406;element of surprise;element of surprise;The scientists successfully isolated the new element of surprise in their nuclear experiments.;The coach relied on an element of surprise to secure the team's victory.
hom_640;waste away;waist away;He began to waste away due to his prolonged illness.;She decided to waist away some inches to fit into her new dress.
hom_449;calves;calves;The farmer had difficulty keeping her calves together in the barn.;After the run, her calves were sore and tired.
het_1292;waned;waned;The patient's energy waned as the day progressed.;The moon waned, gradually becoming a slender crescent in the sky.
hom_2069;quiver;quiver;The archer placed his arrows in the quiver.;She could not stop quivering with excitement.
hom_881; tracks; tracks; The train runs smoothly on its tracks during the journey.; The detective followed the tracks in the mud to find the suspect.
hom_2239; high maintenance; high maintenance; The new software system is highly maintenance, requiring constant updates and support.; The skyscraper demands high maintenance to ensure its structural integrity at such great heights.
het_1611;err;air;He tends to err when solving complex mathematical problems.;She had a confident air about her during the presentation.
hom_2159;pick;pick;Please pick a movie for us to watch tonight.;He used a pick to play the guitar during the concert.
het_1128; break; brake; He decided to take a break after working for hours.; He pressed the brake to stop the car.
hom_673;fall for;fall for;She decided to fall for him after their first date.;He could fall for her if he loses his footing on the ladder.
het_1378;bold;bold;The designer chose a bold font to emphasize the main title.;His bold actions inspired everyone on the team.
hom_792;Amazon;Amazon;I frequently shop on Amazon for my daily needs.;The Amazon is home to a vast diversity of wildlife.
hom_2024;kicks;kicks;He loves his new kicks.;The martial artist practices powerful kicks.
het_586;better;butter;She decided it was better to stay home.;She spread butter on her toast.
het_1272;arteries;oughteries;The hardening of the arteries can lead to increased blood pressure.;The hardening of the oughteries has caused him to delay his tasks indefinitely.
hom_884;Ham;Ham;Ham enjoys raising pigs on his farm.;The butcher sells high-quality ham at the market.
het_1767;colonel;kernel;Colonel Smith led his troops into battle.;The walnut kernel was hard to crack.
het_357;fair;fare;The county fair attracts many visitors each year.;The bus fare has increased significantly recently.
hom_2216;good turn;good turn;She did a good turn by helping her neighbor with the groceries.;The acrobat executed a perfect good turn during the performance.
het_592; bow; bough; After the performance, the actor took a bow to acknowledge the audience's applause.; The bough of the old oak tree swayed in the wind.
hom_63;premises;premises;The argument was strong because the premises were well-established.;The company expanded its operations across several new premises.
hom_1105;hands-on experience;hands-on experience;The biology lab offers students hands-on experience with laboratory equipment.;Making gloves involves hands on experience in sewing and materials handling.
hom_1544;discarded;discarded;He discarded the old newspaper after reading it.;She discarded her winning hand, choosing to fold instead.
het_909;role;roll;She played an important role in the project.;He bought a fresh roll from the bakery.
hom_591;flop;flop;The sudden flop caused chaos in the stock market.;He was relieved that the medication prevented his flop.
hom_856;beneath me;beneath me;Accepting that low-level position would be beneath me.;The basement floor is situated directly beneath me.
hom_2175; on the same wavelength; on the same wavelength; Because they are on the same wavelength, the team worked together seamlessly.; The engineers adjusted the antenna to the same wavelength used for the broadcast.
het_184;mourning;morning;She wore black as part of her mourning.;He enjoys jogging every morning.
hom_1315;credit;credit;She gave credit to her team for the project's success.;He used credit to purchase a new laptop.
hom_388;grainy;grainy;The photograph was grainy due to the low resolution.;The sand was grainy after the sandstorm.
het_185;kitten;kidding;I adopted a playful kitten from the shelter.;He wasn't kidding when he said he would quit his job.
het_193;boos;booze;The audience expressed their disappointment with loud boos.;She enjoyed a glass of her favorite booze after work.
het_750;path of least persistence;path of least persistence;After facing multiple challenges, he took the path of least persistence and abandoned the project.;The engineer calculated the path of least persistence to ensure the material would withstand prolonged stress.
het_1010;eke;eek;She eked out a living by farming on her small plot of land.;He let out an eek when he found the mouse in the basement.
het_532;twenty-twenty;twenty-twenty;He was happy to finally achieve twenty-twenty vision.;In hindsight, everything was twenty-twenty.
het_864;assent;a scent;The manager gave his assent to the proposal.;She added a pleasant a scent to the room.
het_1416;jeans;genes;The designer proudly showcased her latest jeans collection.;Her artistic talent is clearly in her genes.
hom_1378;Guy;guy;My name is Guy, and I enjoy hiking.;We need to tighten the guy on the antenna.
hom_1734;dawned;dawn;It finally dawned on me that I needed to change my study habits.;The first light of dawn painted the sky in beautiful hues.
hom_738;designed;de-signed;The architect designed a new public park.;The city de-signed several billboards overnight.
het_1024;notes;notes;The composer carefully arranged the notes for the new symphony.;She reviewed her notes before the important meeting.
het_1006;relatively speaking;relatively speaking;The project was relatively easy to complete given the resources available.;When discussing Einstein's theories, relatively speaking, his work on relativity revolutionized physics.
het_908; fabrication; fabrication; The fabrication of the new suit required high-quality materials.; His excuse for being late was nothing but a fabrication.
het_491;crotchety;crotchety;She became crotchety after a long day of work.;The musician carefully interpreted every crotchety in the sheet music.
hom_188;chicken;chicken;He was too chicken to try the roller coaster.;The chicken strutted around the yard all morning.
hom_903; booming business; booming business; The technology sector is a booming business with increasing investments.; The fireworks company is a booming business, as their products frequently create loud explosions.
het_300;symphony;sympathy;The orchestra performed a beautiful symphony last night.;She sent her sympathy to the family after their loss.
het_461; Greece; grease; Greece is renowned for its ancient temples and vibrant culture.; The mechanic added extra grease to the engine to ensure it runs smoothly.
het_1055;pi;pie;She explained the value of pi in class.;She baked a delicious pie for dessert.
het_1719;loyally;Loyola;She remained loyally committed to her team throughout the season.;He decided to study at Loyola University to follow his passion for literature.
het_471;phased;fazed;The electrical engineer explained how the current was phased in the circuit.;She wasn't fazed by the unexpected criticism.
het_1174;resignedly;resignedly;Nixon resigned resignedly from his position as president.;He accepted the criticism resignedly.
hom_1261;rocks;rocks;The new software really rocks.;The rocking chair rocks back and forth.
hom_1855;repress;re-press;Freud found it difficult to repress his emotions during therapy.;The technician had to re-press the button to restart the machine.
het_1164;Nat;gnat;My name is Nat.;A gnat is a small flying insect.
het_704; dye; die; She decided to dye her hair a vibrant red.; Unfortunately, without proper care, the plant will die.
het_505;raising;raisin;The organization is raising funds for charity.;He bought a pack of raisins at the store.
het_1367;Golden Retreater;Golden Retriever;The Golden Retreater swiftly avoided the approaching storm.;She owns a loyal Golden Retriever that loves to fetch.
het_1204; allusion; illusion; He made an allusion to her previous work in his speech.; The magician created a stunning illusion that amazed the audience.
hom_1925;ring;ring;She wore a beautiful ring on her wedding day.;The telephone started to ring during the meeting.
het_299;recoup;coop;The company needs to recoup its investments after the setback.; The chickens returned to their coop after roaming the yard.
hom_1933;offensive;offensive;The team's offensive strategy led them to score three touchdowns.;His comment was very offensive to her.
het_498;aisles;isles;She walked gracefully down the aisles during the wedding ceremony.;The serene isles were a perfect getaway for the vacationers.
hom_1123;hardest;hardest;Completing the marathon was the hardest challenge she had ever faced.;The granite countertop is the hardest material used in the kitchen.
hom_1870; backed out; backed out; I backed out of the appointment.; The chiropractor adjusted my backed out.
hom_1642;hearing;hearing;The court scheduled a hearing for the defendant next week.;She has excellent hearing and can hear subtle noises.
hom_1814;took his sweet time;took his sweet time;He took his sweet time to finish the report, ensuring every detail was accurate.;He worked in a chocolate factory and always took his sweet time, enjoying the process of making each treat.
hom_97;knees;needs;He injured his knees while playing basketball.;She has many needs to be met.
het_457;warm wishes;swarm wishes;I sent her a card with warm wishes for her birthday.;The beekeeper included swarm wishes to encourage the bees to gather in large numbers.
hom_137;integral;integral;Calculating the integral of a function determines the area under its curve.;Honesty is an integral part of maintaining trust in a relationship.
hom_1551;Gene;Gene;Gene is attending the conference as a guest speaker.;Scientists are analyzing the gene responsible for the inherited trait.
het_374;loaf;loathe;She bought a loaf of bread.;She began to loathe the taste of bread.
hom_1783;draw;draw;The artist could draw intricate sketches.;He could draw a large crowd to his gallery.
hom_2168;to a T;T;He perfected his recipe to a T, ensuring every ingredient was balanced.;Henry Ford introduced the Model T, revolutionizing the automobile industry.
hom_234;suit himself;suit himself;The tailor decided to suit himself by designing his own suit.;After the meeting, he chose to suit himself and take a different approach.
het_649;single;single;She is single and focusing on her career.;He purchased a single ticket for the concert.
hom_60;get to the bottom of it;get to the bottom of it;She was determined to get to the bottom of the complex financial fraud.;He decided to get to the bottom of the old well to find the water source.
hom_991;grandfather;grandfather;My grandfather enjoys gardening in his spare time.;The company decided to grandfather the old employees into the new system.
hom_1325;arch criminal;arch criminal;He was considered an arch criminal due to his elaborate heists.;The orthopedic shoes were designed to support the wearer's arch criminal comfortably.
hom_705;toll;toll;I had to pay the toll to cross the bridge.;The long hours of work are starting to take their toll on my health.
het_1505;I am;yam;I am impressed with your work.;The recipe calls for yams instead of sweet potatoes.
hom_1008;knockout;knockout;She was a knockout in her design portfolio.;He delivered a knockout in the final round of the match.
het_319;make a mountain out of a molehill;make a mountain out of a molehill;She tends to make a mountain out of a molehill whenever there's a minor issue.;The construction team decided to make a mountain out of a molehill by significantly altering the landscape.
hom_587;drills;drills;Dentists use drills to remove decayed material from teeth.;The students performed repetitive drills to improve their math skills.
het_116; redaction; redaction; The author performed a redaction on the manuscript to remove sensitive information.; The editor joined a redaction program to lose weight.
het_94;bubbled;doubled;The children bubbled their gum during recess.;The investor doubled his money in the stock market.
hom_1323;judgment;judgment;Her good judgment helped her solve the complex problem.;The court's judgment was final and binding.
hom_1756;gift;gift;She purchased a gift for her friend's birthday.;He has a natural gift for mathematics.
hom_150;lose contact;lose contact;He didn't want to lose contact with his childhood friends.;If the connections lose contact, the circuit will fail.
hom_1185;recover;re-cover;After the surgery, she started to recover quickly.;The company plans to re-cover the chairs to give them a fresh look.
het_252;officiously;officiously;Tom officiously offered to organize the meeting.;Tom decided to fish officiously for trout instead of salmon.
hom_1563;temples;temples;She felt a headache coming from her temples.;They visited the ancient temples during their vacation.
hom_1056;look into;look into;I will look into the issue and get back to you with my findings.;Every morning, she would look into the mirror to check her appearance.
hom_978;Pat;pat;Pat is my colleague who leads the marketing team.;He will pat the baby's back to soothe her.
hom_1684; Hell hath no fury like a woman scorned; Hell hath no fury like a woman scorned; "Hell hath no fury like a woman scorned" signifies that a betrayed woman can be extraordinarily angry.; After the argument, she recalled that "Hell hath no fury like a woman scorned" and decided to stand her ground.
hom_808;roll out;roll out;The company decided to roll out the new software update next week.;Before driving, make sure the tire can roll out smoothly on the road.
hom_112;twelve months;twelve months;The event will last twelve months.;He was sentenced to twelve months in prison.
het_889;clearly;cleared;I explained the situation clearly.;The charges were cleared by the jury.
het_900;two meaningful;too meaningful;The poem was two meaningful, allowing readers to interpret its themes in multiple ways.;Her speech was too meaningful, causing the audience to overanalyze every word.
hom_2202;fired;fired;He was fired for consistently arriving late to work.;The crew fired the cannon to launch the projectile.
het_1580;frank;franc;She always provides her frank opinions during meetings.;The company reported its earnings in francs for the last fiscal year.
hom_871; bundle; bundle; The farmer gathered the hay into a bundle.; She managed to make a significant bundle from her freelance work.
het_1156;testily;testily;He approached his exam in a testily manner.;She responded to the criticism testily.
het_874;iron;ironic;The tailor used a powerful iron to press the fabric.;It was ironic that the firefighter's house burned down.
het_1429;haven;heaven;The sailors sought refuge in the nearby haven.;She felt like she was in heaven during the vacation.
hom_218;couldn't stand;couldn't stand;I couldn't stand the loud music.;I couldn't stand without my legs.
hom_981;stunning;stunning;She is a stunning model admired by everyone.;The officer was skilled in stunning the suspect with a taser.
hom_860;sweet dreams;sweet dreams;I always wish my friends sweet dreams before bedtime.;Diabetics need to avoid sweet dreams to manage their blood sugar levels.
hom_247;Brooks;Brooks;Brooks delivered the project proposal to the committee.;The brooks in the valley provide water for irrigation.
het_204;gnus;news;The gnus grazed peacefully on the savannah.;I heard the news about the upcoming event yesterday.
hom_778;lose their cool;lose their cool;During the heated argument, she began to lose her cool.;The aging air conditioner started to lose its cool, making the room uncomfortably warm.
het_1751;lamb;lamb;The lamb is grazing in the field.;We had roast lamb for dinner.
hom_815;down;down;She has been feeling down ever since she lost her job.;The jacket is filled with goose down to keep you warm.
hom_1885;block;block;The artist couldn't think of any new ideas because of a mental block.;He used a wooden block to construct the model.
hom_1183;tangent;tangent;The speaker went off on a tangent, discussing unrelated topics.;In calculus, the tangent line to a curve at a specific point touches the curve without crossing it.
het_1459;gold;golf;The museum displayed an exquisite collection of gold artifacts.;She plays golf every weekend at the local country club.
hom_1972;make a good point;make a good point;He made a good point during the meeting.;She used a pencil sharpener to make a good point on her pencil.
het_942;recklessly;wreck-less-ly;"Tom spoke recklessly, not considering the impact of his words.";"Tom spoke wreck-less-ly, indicating he had never been involved in a car wreck."
hom_1339; make his mark; make his mark; He worked diligently to make his mark in the industry.; He used a permanent marker to make his mark on the whiteboard.
hom_1584;spice;spice;Her vibrant personality adds spice to every conversation.;The chef used a variety of spices to enhance the dish's flavor.
hom_632;immune;immune;Thanks to the vaccine, she is now immune to the virus.;The superhero is immune to bullets, making them invincible.
hom_162;deflowered;deflowered;The gardener deflowered the rose bush to encourage new growth.;He was upset when he realized he had been deflowered by his long-time girlfriend.
hom_1987;mugging;mugging;The suspect was arrested for mugging a tourist in the downtown area.;She enjoys her morning routine by filling her mugging with hot coffee.
hom_1968;swept off her feet;swept off her feet;As a janitor's daughter, she often swept off her feet while cleaning the hallways.;He tried to sweep her off her feet with his romantic gestures.
het_886; little patients; little patience; The pediatrician treats little patients; She has little patience when dealing with delays.
het_681; dear; deer; She is a person I hold very dear.; A deer wandered through the garden yesterday.
het_348; perks; perks; A strong cup of coffee can perk you up on a sleepy morning.; I turned on the computer, and it perks without any issues.
hom_717;dawn;dawn;The dawn broke, painting the sky with hues of orange and pink.;It began to dawn on her that she had forgotten the meeting.
hom_473; dummies; dummies; She was frustrated with her coworkers, feeling they were all dummies.; The store window was decorated with stylish dummies dressed for the season.
hom_2100;moonlighting;moonlighting;He decided to start moonlighting as a teacher to earn extra income.;The garden was bathed in soft moonlighting during the night.
hom_1857;loaded;loaded;He is loaded and can afford a luxurious lifestyle.;With the bases loaded, the batter stepped up to the plate.
hom_1808;parted;parted;He parted his hair to the left every morning.;They have parted ways after the argument.
het_253;wait;weight;I have to wait for the bus.;She is trying to lose weight by dieting.
het_1228;coaxed;Coke;She coaxed the kitten into coming inside.;He poured a Coke into his glass.
het_934;puckishly;puckishly;Tom said he was feeling puckishly during the game.;She behaved puckishly to lighten the mood.
het_1063; putting it; pudding it; She is putting it clearly to explain her idea.; He is pudding it with tapioca for dessert.
hom_203; pop; pop; The band plays pop music every Friday night.; The balloon made a loud pop when it touched the needle.
het_189; refluxes; reflexes; The refluxes in the distillation column were carefully monitored to ensure product purity.; Her quick reflexes saved him from the falling object.
hom_1678; beats me; beats me; Beats me why anyone would want to be a masochist.; They threaten to beat me if I don't comply.
hom_367;terminal;terminal;I arrived early at the airport terminal to catch my flight.;Unfortunately, she was diagnosed with a terminal illness.
het_1407;flatteringly;flattening;Tom spoke flatteringly to praise the steamroller.; The steamroller is flattening the road.
het_791;lose their way;lose their whey;The explorers began to lose their way in the dense forest.;During cheese production, the farmers had to lose their whey to complete the process.
hom_197;shorts;shorts;He decided to wear shorts on the hot summer day.;The electrician detected shorts in the electrical system, causing a power outage.
hom_1711;buzz off;buzz off;When he was annoyed, he told his friend to buzz off.;The bees begin to buzz off from the hive at sunrise.
hom_796; light workload; light workload; The employees were given a light workload this week.; The light workload involved assembling lamps.
hom_287;sly;sly;Sly was promoted to team leader.;The fox is very sly in the forest.
het_698;spade away;fade away;The farmer decided to spade away the soil to prepare for planting.;As the sun set, the colors began to fade away.
hom_1307;Josh;josh;Josh is hosting a new episode tonight.;They spent the afternoon engaged in some friendly josh.
hom_1438;severance;severance;Upon being laid off, he received severance pay.;The executioner was responsible for the severance of heads.
het_1442; limelight; lime; The celebrity was always in the limelight.; The bartender added a slice of lime to the drink.
hom_2184;Ira;IRA;Ira is a talented writer.;I contribute to my IRA every year.
het_1103;presence;presents;Mary's presence was essential for the meeting.;She received many presents on her birthday.
het_276;grays;graze;The artist preferred using different shades of grays in his monochrome paintings.;Cattle begin to graze in the pasture every morning.
het_883;loin;learn;The butcher carefully trimmed the loin of the steak.;She wanted to learn as much as possible to advance her career.
het_957;make the same mistake;make the same mistake;Don't make the same mistake twice in your work.;The actor chose to make the same mistake twice to enhance the character's flaw.
hom_223; still; still; She remained still during the examination to avoid detection.; The whiskey was stored in a copper still to ensure proper distillation.
het_1213;meddle;medal;He tends to meddle in others' affairs.;She proudly received a gold medal at the Olympics.
hom_2140;dirty cop;dirty cop;The community was outraged when it was discovered that the dirty cop had been accepting bribes.;After working all day in the rain, the dirty cop finally took a shower at the precinct.
hom_2071;hit him;hit him;He hit him with the baseball.;It finally hit him that he needed to change his career.
hom_1042;illuminating;illuminating;The lamp is illuminating the entire room.;The course was very illuminating and provided new insights.
het_1526; loam ranger; lone ranger; A loam ranger studies the composition and quality of soil samples.; The lone ranger embarked on his journey alone, seeking adventure in the wilderness.
hom_2180;final goal;final goal;The player scored the final goal of the match in the 90th minute.;Her final goal was to become a renowned scientist.
hom_2125; pin drop; pin drop; The meeting was so silent that you could hear a pin drop.; In the bowling alley, a pin drop signaled the end of the player's turn.
hom_2248;played out;played out;The band played out their latest hit at the concert last night.;The fashion trend has played out, and everyone has moved on to new styles.
het_983;seams;seems;The seams of the jacket were carefully reinforced to last longer.;It seems that the project will be completed on time.
het_881;waist;waste;She adjusted her belt around her waist.;Spending so much on unnecessary gadgets is a waste.
het_956;dye;die;She decided to dye her hair a vibrant red.;After the surgery, he began to die peacefully.
hom_820;work for peanuts;work for peanuts;The new graduates had to work for peanuts in order to gain experience.;The elephants were able to work for peanuts, enjoying their favorite treat.
hom_503;proof;proof;He needed more proof to support his argument.;The whiskey was labeled as 100 proof.
het_1160;summarily;summarily;The CEO summarily approved the new project proposal.;The teacher summarily calculated the sums for the math test.
hom_53;patent;patent;He filed a patent for his new invention to secure his intellectual property.;The mistake was patent to everyone in the room.
hom_1471; folded; folded; The online origami store folded after struggling financially.; She folded the paper to create an intricate origami design.
hom_2187; take steps; take steps; She decided to take steps to improve her health by exercising regularly.; He prefers to take steps instead of using the elevator to reach the 10th floor.
hom_754;lie;lie;After the long hike, he decided to lie down under the tree for a rest.;She chose to lie about her qualifications on the resume.
hom_993;reservations;reservations;They visited several reservations during their trip to Arizona.;I couldn't dine at the restaurant because I didn't have any reservations.
het_1095;coup;coo;The coup led to significant political changes.;The dove cooed softly all evening.
hom_568;interest;interest;She earned interest on her savings account.;He has a strong interest in painting.
het_1773; circular saws; circular sores; The carpenter used circular saws to cut the wood.; She had several circular sores on her arm.
hom_236;mass;mass;The mass of the planet was calculated using gravitational measurements.;They attended the mass every Sunday morning.
hom_2056;rusty;rusty;Rusty is one of the most experienced iron workers in our company.;The abandoned bridge was dangerous due to rusty metal beams.
hom_1523;key;key;The key to a healthy lifestyle is regular exercise.;She used her key to unlock the front door.
het_347; key; key; I need a key to open the door.; The song is in the key of C major.
het_411;stationary;stationery;The car remained stationary at the red light.;She bought new stationery for her office.
hom_1329; stationery; stationary; She bought new stationery for her office.; The car remained stationary at the traffic light.
hom_1713;attractive;attractive;She found the painting extremely attractive due to its vibrant colors.;The magnet was especially attractive, drawing the metal objects closer.
hom_646;present;present;He gave her a lovely present for her birthday.;Let's focus on the present moment.
het_242; emotional; emulsional; Photographers often deal with emotional challenges in their work.; Chemistry labs must manage emulsional stability during film processing.
het_379; roomers; rumors; The college dormitory has many roomers who pay rent each semester.; Rumors about the dormitory explosion spread quickly across campus.
het_482; wood worker; would worker; The wood worker crafted a beautiful table.; He is a would worker, always ready to take on any job.
het_722;son;sun;Her son won the chess championship.;The sun provides the necessary light for photosynthesis.
hom_780;log;log;The captain meticulously documented each day's events in his log.;They used a large log to build the new deck.
het_11; arch; arch; She delivered her remarks in an arch manner.; The arch of her foot provided excellent support while walking.
hom_7;hit;hit;The movie was a huge hit at the box office.;For the parade, the children will hit the pinata with a stick.
het_4;office;orifice;After a long morning meeting, she finally arrived at the office to start her tasks.;The dentist examined the patient's orifice for any signs of cavities.
hom_1305;lose interest;lose interest;She began to lose interest in the hobby after a few months.;The bank decided to lose interest on the outdated savings accounts.
het_1742;canon;cannon;The church follows the canon strictly to maintain its traditions.;The navy deployed a cannon during the training exercise.
hom_2142;geared up;geared up;The team geared up for the championship.;The mechanic geared up the engine with new gears.
hom_14;admitted;admitted;She admitted that she forgot to complete the report.;He was admitted to the university after a competitive application process.
het_1340; thrown away; throne away; She decided to throw the old clothes away.; The king chose to throne away from his duties.
het_377;wanton;wonton;The behavior was wanton and showed no regard for others.;She ordered a delicious bowl of wonton soup for lunch.
hom_1970;board meeting;board meeting;The board meeting will discuss the company's financial strategies.;The lumber company holds many board meetings to manage their wooden products.
hom_187;pull the pin;pull the pin;After weeks of conflict, he finally decided to pull the pin on their relationship.;The soldier had to pull the pin before throwing the grenade into the trench.
het_278;diplomatically;diplomatically;"She handled the situation diplomatically to avoid any conflict.";"After his studies, he graduated diplomatically with honors."
hom_728;pound;pound;I need to buy 5 pounds of apples.;The stray dog was taken to the pound.
hom_1833; sage advice; sage advice; He offered sage advice to those seeking wisdom.; She followed his sage advice to use more sage in the stuffing.
hom_1358; running; running; The engine has been running for three years without stopping.; She has been running every morning for three years.
hom_1549;strike;strike;The bowler achieved a strike in the tenth frame.;A lightning strike illuminated the sky during the storm.
hom_200;strike;strike;He threw a perfect strike in his bowling game.;A sudden lightning strike illuminated the sky.
het_1486; guerrilla; gorilla; The guerrilla fighters employed unconventional tactics to challenge the established army.; The gorilla at the zoo was known for its impressive strength and intelligence.
hom_790;blew over;blew over;The heated discussion between the couple eventually blew over.;The severe storm outside blew over by midday.
hom_622;rash;rash;He made a rash decision without considering the consequences.;She went to the dermatologist to treat her persistent rash.
het_1342; amply; amp; The garden was amply supplied with water.; The electrician measured an amp of current.
hom_1830;blow away;blow away;The high price of the big fan blew me away.;The powerful fan began to blow away the papers on the desk.
het_589;profit;prophet;The company reported a substantial profit this quarter.;The prophet shared his visions with the congregation.
hom_968;Jumping to conclusions;Jumping to conclusions;Jumping to conclusions can lead to misunderstandings.;Jumping to conclusions is a form of physical exercise.
hom_1231; hitting it off; hitting it off; The new teammates quickly hit it off and became close friends.; During practice, the batter was hitting it off the tee with impressive strength.
hom_1820;kickoff;kickoff;We scheduled a kickoff meeting to launch the new project.;The game began with a kickoff to start the match.
het_906;kickoff;kickoff;The football team prepared for the kickoff.;The manager scheduled a kickoff meeting tomorrow.
het_1718;kilt;killed;She wore a traditional kilt at the Scottish festival.;The arsonist killed the old building in the fire.
hom_135; ripe; ripe; Fruit has to become ripe before it is ready to eat.; They lived to a ripe old age.
het_1232;lying;lion;He is lying about his whereabouts.;The lion is the king of the jungle.
hom_1201;wave;way;The surfer rode the impressive wave to shore.;She presented a new way to improve efficiency in the workplace.
hom_1271;classified;classified;The government kept the information classified to protect national security.;She placed a classified ad in the newspaper to sell her old bicycle.
het_1155;reckoning;wreckoning;He feared the day of reckoning would finally address his past mistakes.;The storm led to a day of wreckoning, leaving many vehicles damaged.
hom_504;count on it;count on it;I can count on it to be there when I need help.;I will count on it using the abacus to compute the numbers.
hom_1269;underworld;underworld;The criminal underworld has a strict hierarchy.;Many cultures have myths about the underworld where souls reside after death.
het_65;throng;wrong;The throng of spectators cheered loudly during the parade.;She knew she was wrong after double-checking her calculations.
hom_760;Marshall;marshal;"Marshall is attending the conference tomorrow.";"The marshal was responsible for maintaining peace."
hom_666;sweet victory;sweet victory;The team celebrated their sweet victory after the intense match.;The child felt a sweet victory upon winning the candy prize.
het_38;lute;loot;She played the lute beautifully during the recital.;The thieves made off with a significant amount of loot.
hom_1304; out of commission; out of commission; The elevator is out of commission due to a mechanical failure.; After many years, the old salesman finally went out of commission and retired.
het_303;stank;sank;The garbage left outside began to stank, making the area unpleasant.;Several boats sank to the bottom of the river after the strong currents.
het_973;horse;hoarse;The horse galloped across the field.;After shouting during the concert, she became hoarse.
hom_1487;sincere;sincere;She was sincere in her apology.;His sincere actions were considered sinful.
het_844; pore; poor; She carefully cleaned the pores on her face before applying makeup.; His excuse for being late was a poor one.
het_71;cash;cache;The bandits confiscated the cash from their victims.;She decided to clear the cache to improve her computer's performance.
het_1452;Stu;stew;Stu went to the meeting early this morning.;She simmered the vegetables in a rich beef stew.
het_782;cast;cast;After he broke his arm, he had to wear a cast for six weeks.;The director decided to cast new actors for the upcoming play.
hom_1284; jerk; jerk; The car stopped with a jerk.; The jerk got out.
het_1261;vein;vain;Doctors inserted an I.V. into his vein.;All their efforts to save him were in vain.
hom_2240;chew out;chew out;The manager decided to chew out his employee for missing deadlines.;He had to chew out a piece of bubblegum to relax after work.
hom_1014;drift;drift;The children built a snow drift in the park after the snowfall.;I hope you get my drift about the changes needed in the project.
het_1453;tune;tuna;He practiced the piano tune every morning to improve his skills.;At the market, she bought fresh tuna for dinner.
het_393;mutton;nothing;Some people choose to eat lamb and mutton as their meat options.;Some people eat nothing else besides lamb.
het_84;drop in;drop inn;I can drop in to visit my friend tomorrow.;We decided to drop inn at the cozy bed and breakfast last night.
het_1305;mistified;mystified;The landscape was mistified by the early morning fog.;She was mystified by the unexpected results of the experiment.
hom_1006;faculties;faculties;After the surgery, she worked hard to restore her mental faculties.;The university's faculties met to discuss the new academic policies.
hom_145;shots;shots;The bartender served several shots of whiskey.;The nurse administered several shots to the patients.
het_1295;hole;whole;The hole in his shoe needed repair.;He explained the whole process carefully.
het_1703;kilter;kilt;The shelf was slightly off kilter after the earthquake.;He wore a kilt to perform with the bagpipes.
hom_1187;Dick;Dick;Dick submitted his report before the deadline.;It's not nice to call someone a dick in the office.
het_174;weak;week;After running the marathon, she felt extremely weak.;The project deadline is set for next week.
hom_1648;in a different light;in a different light;Scientists used specialized equipment to observe the sun in a different light.;After the meeting, she began to view the situation in a different light.
het_863;board;bored;The hotel offers full board, including all meals and accommodations, to its guests.;After hours of waiting, she felt bored and restless.
hom_825; turn into; turn into; The magician can turn into a rabbit during his act.; She decided to turn into the new pharmacy downtown.
het_1370;allegedly;a ledge;The testimony allegedly lacks credibility.;He threatened to jump off the building from a ledge.
hom_2103;ruler;ruler;The student used a ruler to draw a straight line on the paper.;The king was a just and benevolent ruler over his kingdom.
het_1561; shear; sheer; The farmer decided to shear the sheep early in the morning.; The mountain was a sheer cliff that was difficult to scale.
hom_549;pitched;pitched;The army engaged in pitched battles to gain control of the territory.;The pitcher pitched the ball with great speed during the game.
het_913; political graft; political graphed; The newspaper exposed the politician for engaging in political graft.; The researcher presented the data on the political graphed in the annual report.
hom_855;change;change;The organization is implementing a significant change in its operational procedures.;She found a lot of change in her purse after paying for the coffee.
